voter_id,film_title,film_url,film_id,film_year,film_director
405,Kind Hearts and Coronets,https://www2.bfi.org.uk/films-tv-people/4ce2b73453fda,4ce2b73453fda,1949,Robert Hamer
405,"Last Laugh, The",https://www2.bfi.org.uk/films-tv-people/4ce2b7916e67e,4ce2b7916e67e,1924,F. W. Murnau
405,Psycho,https://www2.bfi.org.uk/films-tv-people/4ce2b6b39fc24,4ce2b6b39fc24,1960,Alfred Hitchcock
405,Rio Bravo,https://www2.bfi.org.uk/films-tv-people/4ce2b6b461386,4ce2b6b461386,1958,Howard Hawks
405,Rome Open City,https://www2.bfi.org.uk/films-tv-people/4ce2b6b48f642,4ce2b6b48f642,1945,Roberto Rossellini
405,Some Like It Hot,https://www2.bfi.org.uk/films-tv-people/4ce2b76e98a5c,4ce2b76e98a5c,1959,Billy Wilder
405,Text of Light,https://www2.bfi.org.uk/films-tv-people/4ce2b6d27ff6c,4ce2b6d27ff6c,1974,Stan Brakhage
1032,Army of Shadows,https://www2.bfi.org.uk/films-tv-people/4ce2b6ee1a28e,4ce2b6ee1a28e,1969,Jean-Pierre Melville
1032,"Battle of Algiers, The",https://www2.bfi.org.uk/films-tv-people/4ce2b6f24787d,4ce2b6f24787d,1966,Gillo Pontecorvo
1032,Dr. Strangelove,https://www2.bfi.org.uk/films-tv-people/4ce2b6a906793,4ce2b6a906793,1963,Stanley Kubrick
1032,"Godfather: Part I, The",https://www2.bfi.org.uk/films-tv-people/4ce2b6ab4237b,4ce2b6ab4237b,1972,Francis Ford Coppola
1032,"Grapes of Wrath, The",https://www2.bfi.org.uk/films-tv-people/4ce2b721151ac,4ce2b721151ac,1940,John Ford
1032,Lawrence of Arabia,https://www2.bfi.org.uk/films-tv-people/4ce2b6aea50ea,4ce2b6aea50ea,1962,David Lean
1032,Out of the Past,https://www2.bfi.org.uk/films-tv-people/4ce2b6b26aca5,4ce2b6b26aca5,1947,Jacques Tourneur
1032,"Règle du jeu, La",https://www2.bfi.org.uk/films-tv-people/4ce2b6b41d658,4ce2b6b41d658,1939,Jean Renoir
1032,Seven Samurai,https://www2.bfi.org.uk/films-tv-people/4ce2b6b5b6382,4ce2b6b5b6382,1954,Akira Kurosawa
1032,"Treasure of Sierra Madre, The",https://www2.bfi.org.uk/films-tv-people/4ce2b6b8e2503,4ce2b6b8e2503,1947,John Huston
882,Apocalypse Now,https://www2.bfi.org.uk/films-tv-people/4ce2b69562aa2,4ce2b69562aa2,1979,Francis Ford Coppola
882,"Bicycle Thieves, The",https://www2.bfi.org.uk/films-tv-people/4ce2b6ae61fec,4ce2b6ae61fec,1948,Vittorio de Sica
882,Breathless,https://www2.bfi.org.uk/films-tv-people/4ce2b6bfd1ebb,4ce2b6bfd1ebb,1960,Jean-Luc Godard
882,Fanny and Alexander,https://www2.bfi.org.uk/films-tv-people/4ce2b69415af8,4ce2b69415af8,1984,Ingmar Bergman
882,"Godfather: Part II, The",https://www2.bfi.org.uk/films-tv-people/4ce2b6ab42667,4ce2b6ab42667,1974,Francis Ford Coppola
882,Head-On,https://www2.bfi.org.uk/films-tv-people/4ce2b8a2b0940,4ce2b8a2b0940,2003,Fatih Akin
882,Peeping Tom,https://www2.bfi.org.uk/films-tv-people/4ce2b6b2c5f5a,4ce2b6b2c5f5a,1960,Michael Powell
882,Pyaasa,https://www2.bfi.org.uk/films-tv-people/4ce2b75db6ba9,4ce2b75db6ba9,1957,Guru Dutt
882,Taxi Driver,https://www2.bfi.org.uk/films-tv-people/4ce2b6b7bc1b8,4ce2b6b7bc1b8,1976,Martin Scorsese
882,Trainspotting,https://www2.bfi.org.uk/films-tv-people/4ce2b7e61eb15,4ce2b7e61eb15,1995,Danny Boyle
696,Blood of the Beasts,https://www2.bfi.org.uk/films-tv-people/4ce2b6b507d7c,4ce2b6b507d7c,1948,Georges Franju
696,Floating Clouds,https://www2.bfi.org.uk/films-tv-people/4ce2b6b94f5ad,4ce2b6b94f5ad,1955,Naruse Mikio
696,French Cancan,https://www2.bfi.org.uk/films-tv-people/4ce2b71b9a45d,4ce2b71b9a45d,1955,Jean Renoir
696,Gertrud,https://www2.bfi.org.uk/films-tv-people/4ce2b6ab03131,4ce2b6ab03131,1964,Carl Theodor Dreyer
696,Me and My Gal,https://www2.bfi.org.uk/films-tv-people/4ce2b6b027d6f,4ce2b6b027d6f,1932,Raoul Walsh
696,Out 1,https://www2.bfi.org.uk/films-tv-people/4ce2b753590cb,4ce2b753590cb,1990,Jacques Rivette
696,Playtime,https://www2.bfi.org.uk/films-tv-people/4ce2b6b3291db,4ce2b6b3291db,1967,Jacques Tati
696,"Power of Speech, The",,,,Jean-Luc Godard
696,"Shining, The",https://www2.bfi.org.uk/films-tv-people/4ce2b6bf360f4,4ce2b6bf360f4,1980,Stanley Kubrick
696,True Heart Susie,https://www2.bfi.org.uk/films-tv-people/4ce2b6b913eb2,4ce2b6b913eb2,1919,D.W. Griffith
436,2001: A Space Odyssey,https://www2.bfi.org.uk/films-tv-people/4ce2b6b9450a5,4ce2b6b9450a5,1968,Stanley Kubrick
436,Emperor Tomato Ketchup,https://www2.bfi.org.uk/films-tv-people/4ce2b6b89650f,4ce2b6b89650f,1971,Terayama Shuji
436,Empire,https://www2.bfi.org.uk/films-tv-people/4ce2b711a157d,4ce2b711a157d,1964,Andy Warhol
436,In the Realm of the Senses,https://www2.bfi.org.uk/films-tv-people/4ce2b6bbda06f,4ce2b6bbda06f,1976,Nagisa Oshima
436,Man with a Movie Camera,https://www2.bfi.org.uk/films-tv-people/4ce2b6a21d217,4ce2b6a21d217,1929,Dziga Vertov
436,Meshes of the Afternoon,https://www2.bfi.org.uk/films-tv-people/4ce2b6b0511e9,4ce2b6b0511e9,1943,Maya Deren/Alexander Hammid
436,"Movie, A",https://www2.bfi.org.uk/films-tv-people/4ce2b749a2cbb,4ce2b749a2cbb,1958,Bruce Conner
436,Summer In Narita,,,,Ogawa Shinsuke
436,"Timeless, Bottomless, Bad Movie",https://www2.bfi.org.uk/films-tv-people/4ce2b813df499,4ce2b813df499,1998,Jang Sun-Woo
436,"Turin Horse, The",,,,Béla Tarr
847,Alien,https://www2.bfi.org.uk/films-tv-people/4ce2b6bbe2a40,4ce2b6bbe2a40,1979,Ridley Scott
847,Die Hard,https://www2.bfi.org.uk/films-tv-people/4ce2b794bae55,4ce2b794bae55,1988,John McTiernan
847,Hannah and Her Sisters,https://www2.bfi.org.uk/films-tv-people/4ce2b7234f9b8,4ce2b7234f9b8,1986,Woody Allen
847,"Last Days of Disco, The",https://www2.bfi.org.uk/films-tv-people/4ce2b809e0bf3,4ce2b809e0bf3,1998,Whit Stillman
847,"Night at the Opera, A",https://www2.bfi.org.uk/films-tv-people/4ce2b6b176796,4ce2b6b176796,1935,Sam Wood
847,"notte, La",https://www2.bfi.org.uk/films-tv-people/4ce2b6b1c031b,4ce2b6b1c031b,1961,Michelangelo Antonioni
847,"Posto, Il",https://www2.bfi.org.uk/films-tv-people/4ce2b6b354eeb,4ce2b6b354eeb,1961,Ermanno Olmi
847,Tokyo Story,https://www2.bfi.org.uk/films-tv-people/4ce2b6b8908e4,4ce2b6b8908e4,1953,Ozu Yasujirô 
847,"Trip, The",,,,Michael Winterbottom
847,US Go Home,,,,Claire Denis
1036,"Art of Vision, The",https://www2.bfi.org.uk/films-tv-people/4ce2b6ee97f1a,4ce2b6ee97f1a,1964,Stan Brakhage
1036,"Big Heat, The",https://www2.bfi.org.uk/films-tv-people/4ce2b6a516edb,4ce2b6a516edb,1953,Fritz Lang
1036,Boudu Saved from Drowning,https://www2.bfi.org.uk/films-tv-people/4ce2b6a635f83,4ce2b6a635f83,1932,Jean Renoir
1036,Cheyenne Autumn,https://www2.bfi.org.uk/films-tv-people/4ce2b6a77fbf5,4ce2b6a77fbf5,1964,John Ford
1036,City Lights,https://www2.bfi.org.uk/films-tv-people/4ce2b6bbb8e51,4ce2b6bbb8e51,1931,Charles Chaplin
1036,"General, The",https://www2.bfi.org.uk/films-tv-people/4ce2b6aae85f3,4ce2b6aae85f3,1926,Buster Keaton
1036,"Great Dictator, The",https://www2.bfi.org.uk/films-tv-people/4ce2b6bbbae8c,4ce2b6bbbae8c,1940,Charles Chaplin
1036,Princess Yang Kwei Fei,https://www2.bfi.org.uk/films-tv-people/4ce2b6bb47e2c,4ce2b6bb47e2c,1955,Mizoguchi Kenji
1036,Rio Bravo,https://www2.bfi.org.uk/films-tv-people/4ce2b6b461386,4ce2b6b461386,1958,Howard Hawks
1036,Rome Open City,https://www2.bfi.org.uk/films-tv-people/4ce2b6b48f642,4ce2b6b48f642,1945,Roberto Rossellini
853,"Age d'Or, L'",https://www2.bfi.org.uk/films-tv-people/4ce2b6a5074d0,4ce2b6a5074d0,1930,Luis Buñuel
853,"Atalante, L'",https://www2.bfi.org.uk/films-tv-people/4ce2b6a439bc9,4ce2b6a439bc9,1934,Jean Vigo
853,"Bicycle Thieves, The",https://www2.bfi.org.uk/films-tv-people/4ce2b6ae61fec,4ce2b6ae61fec,1948,Vittorio de Sica
853,Boudu Saved from Drowning,https://www2.bfi.org.uk/films-tv-people/4ce2b6a635f83,4ce2b6a635f83,1932,Jean Renoir
853,"Gold Rush, The",https://www2.bfi.org.uk/films-tv-people/4ce2b6bbbab86,4ce2b6bbbab86,1925,Charles Chaplin
853,Mon Oncle,https://www2.bfi.org.uk/films-tv-people/4ce2b6b0b69c4,4ce2b6b0b69c4,1958,Jacques Tati
853,Nanook of the North,https://www2.bfi.org.uk/films-tv-people/4ce2b7491753f,4ce2b7491753f,1922,Robert J. Flaherty
853,Sunrise,https://www2.bfi.org.uk/films-tv-people/4ce2b6b7568ee,4ce2b6b7568ee,1927,F. W. Murnau
853,Tokyo Story,https://www2.bfi.org.uk/films-tv-people/4ce2b6b8908e4,4ce2b6b8908e4,1953,Ozu Yasujirô 
853,Z,https://www2.bfi.org.uk/films-tv-people/4ce2b6bb7e02a,4ce2b6bb7e02a,1968,Costa-Gavras
1071,"Deuxième Souffle, Le",https://www2.bfi.org.uk/films-tv-people/4ce2b6a8bf7a8,4ce2b6a8bf7a8,1966,Jean-Pierre Melville
1071,Mouchette,https://www2.bfi.org.uk/films-tv-people/4ce2b6b0d7f12,4ce2b6b0d7f12,1966,Robert Bresson
1071,Once Upon a Time in the West,https://www2.bfi.org.uk/films-tv-people/4ce2b6a754af6,4ce2b6a754af6,1968,Sergio Leone
1071,Only Angels Have Wings,https://www2.bfi.org.uk/films-tv-people/4ce2b6b22e4cd,4ce2b6b22e4cd,1939,Howard Hawks
1071,Shock Corridor,https://www2.bfi.org.uk/films-tv-people/4ce2b6b5bfaab,4ce2b6b5bfaab,1963,Samuel Fuller
1071,Some Like It Hot,https://www2.bfi.org.uk/films-tv-people/4ce2b76e98a5c,4ce2b76e98a5c,1959,Billy Wilder
1071,Sunrise,https://www2.bfi.org.uk/films-tv-people/4ce2b6b7568ee,4ce2b6b7568ee,1927,F. W. Murnau
1071,To Be or Not To Be,https://www2.bfi.org.uk/films-tv-people/4ce2b779dd367,4ce2b779dd367,1942,Ernst Lubitsch
1071,Tokyo Story,https://www2.bfi.org.uk/films-tv-people/4ce2b6b8908e4,4ce2b6b8908e4,1953,Ozu Yasujirô 
1071,Ugetsu Monogatari,https://www2.bfi.org.uk/films-tv-people/4ce2b6b94daff,4ce2b6b94daff,1953,Mizoguchi Kenji
719,"""I Know Where I'm Going!""",https://www2.bfi.org.uk/films-tv-people/4ce2b6ace5f91,4ce2b6ace5f91,1945,Michael Powell/Emeric Pressburger
719,Anatomy of a Murder,https://www2.bfi.org.uk/films-tv-people/4ce2b6b5af074,4ce2b6b5af074,1959,Otto Preminger
719,"Brighter Summer Day, A",https://www2.bfi.org.uk/films-tv-people/4ce2b7b78a3f5,4ce2b7b78a3f5,1991,Edward Yang
719,"Lady Eve, The",https://www2.bfi.org.uk/films-tv-people/4ce2b6ae66430,4ce2b6ae66430,1941,Preston Sturges
719,Late Spring,https://www2.bfi.org.uk/films-tv-people/4ce2b6a498bd1,4ce2b6a498bd1,1949,Ozu Yasujirô 
719,"Man Escaped, A",https://www2.bfi.org.uk/films-tv-people/4ce2b6a7da289,4ce2b6a7da289,1956,Robert Bresson
719,"Règle du jeu, La",https://www2.bfi.org.uk/films-tv-people/4ce2b6b41d658,4ce2b6b41d658,1939,Jean Renoir
719,They Were Expendable,https://www2.bfi.org.uk/films-tv-people/4ce2b6b81c81e,4ce2b6b81c81e,1945,John Ford
