film_id,title,director,year,country,genre,film_type,category,actors,alternate_titles
4ce2b73b27b13,The Long Voyage Home,John Ford,1940,USA,Drama,Film,Fiction,John Wayne::Thomas Mitchell::Ian Hunter,
4ce2b73c0c153,LOULOU,Maurice Pialat,1980,France,Drama,Film,Fiction,Larry Coryell::Hubert Laws::Isabelle Huppert,
4ce2b73ce492b,LUDWIG,,1972,France::Italy::Federal Republic of Germany,Biopic::Historical drama,Film,Fiction,Helmut Berger::Trevor Howard::Silvana Mangano,
4ce2b73d0d79d,La Luna,Bernardo Bertolucci,1979,Italy,Drama,Film,Fiction,Jill Clayburgh::Matthew Barry::Laura Betti,The Moon
4ce2b73d18059,Rabbit's Moon,,1950,USA,Artists' Moving Image,Film,Non Fiction,Andre Soubeyran::Claude Revenant::Nadine Valence,La Lune Des Lapins
4ce2b73d1bb3f,Longmen Kezhan,King Hu,1966,Taiwan,Martial arts,Film,Fiction,Shangkuan Ling Feng::Shih Chun::Pai Ying,Dragon Inn::Lung Mun Kar Chuan::Dragon Gate Inn::Lung Moon Haak Chan::Lung-Man K'o Chan
4ce2b73dc7885,Mad Max 2,George Miller,1981,Australia,Science Fiction,Film,Fiction,Harold Baigent::Mel Gibson::Bruce Spence,The Road Warrior::Mad Max II
4ce2b73e2ceda,Magino Village: A Tale,Shinsuke Ogawa,1987,Japan,Documentary,Film,Non Fiction,Tatsumi Hijikata::Junko Miyashita::Masai Kikuchi,MAGINO - MURA MONOGATARI::TALES FROM THE MAGINO VILLAGE::Magino Village - A Tale::Magino Village  A Tale
4ce2b73f2ec00,La Maman et la Putain,Jean Eustache,1973,France,Drama,Film,Fiction,Françoise Lebrun::Bernadette Lafont::Jean-Pierre Léaud,The Mother and the Whore
4ce2b73f4fdca,MANDALA,,1981,"Korea, Republic of",Drama,Film,Fiction,Kim Jong Soo::Jon Moo Song::Ahn Song Ki,
4ce2b73fca9d0,Man of Aran,,1934,United Kingdom,Documentary drama,Film,Non Fiction,Colman King::Maggie Dirrane::Michael Dillane,
4ce2b740d3924,MARKETA LAZAROVÁ,Frantisek Vlácil,1967,Czechoslovakia,Period drama,Film,Fiction,Josef Kemr::Nada Hejná::Jaroslav Moucka,MARKETA LAZAROVA::MARKETA LAZAROVA (PART II)
4ce2b74203000,A Matter of Time,,1976,Italy::USA,Drama,Film,Fiction,Liza Minnelli::Ingrid Bergman::Charles Boyer,Carmela::Nina
4ce2b7421cc0a,Maurice,James Ivory,1987,United Kingdom,Drama,Film,Fiction,James Wilby::Hugh Grant::Rupert Graves,
4ce2b74220f91,MAUVAIS SANG,Léos Carax,1986,France,Crime::Romance,Film,Fiction,Michel Piccoli::Juliette Binoche::Denis Lavant,The NIGHT IS YOUNG::BAD BLOOD
4ce2b7426365c,Meantime,,1983,United Kingdom,Drama,Television,Fiction,Marion Bailey::Phil Daniels::Tim Roth,Smoke
4ce2b74301b51,La MEMOIRE FERTILE,,1980,Belgium::Netherlands::Federal Republic of Germany::Occupied Palestinian territories,Documentary,Film,Non Fiction,Farah Hatoum::Sahar Khalifeh,FERTILE MEMORY
4ce2b7430f407,Memories of the Camps,,1945,United Kingdom,Government sponsored film,Film,Non Fiction,,In Memory of the Camps::The Atrocity Film::Concentration Camp Film::F3080::Concentration
4ce2b74313a7f,The Memory of Justice,,1976,United Kingdom::USA::Federal Republic of Germany,Documentary,Television,Non Fiction,Marcel Ophüls,
4ce2b74373fc6,The Merry Widow,Erich von Stroheim,1925,USA,Romance,Film,Fiction,Mae Murray::John Gilbert::Roy D'arcy,
4ce2b74464bc2,Mikey and Nicky,Elaine May,1976,USA,Drama,Film,Fiction,Peter Falk::John Cassavetes::Ned Beatty,Mickey and Nicky
4ce2b7453b195,Les MISÉRABLES,Albert Capellani,1912,France,Drama,Film,Fiction,Henry Krauss::J.P. Etievant::M. Bernard,
4ce2b74544acb,Mishima: A Life in Four Chapters,Paul Schrader,1985,Japan::USA,Biopic,Film,Fiction,Roy Scheider::Ken Ogata::Masayuki Shionoya,Mishima
4ce2b7455f16b,The Mission,Roland Joffé,1986,United Kingdom,Drama,Film,Fiction,Robert De Niro::Jeremy Irons::Ray McAnally,Guarani
4ce2b7461c88b,MITT LIV SOM HUND,Lasse Hallström,1985,Sweden,Comedy::Drama,Film,Fiction,Anton Glanzelius::Tomas von Brömssen::Anki Lidén,MY LIFE AS A DOG
