actor,films,film_votes,votes_per_film,directors
Darwin Joston,1,2,2.00,John Carpenter
David Tomlinson,1,2,2.00,Robert Stevenson
Déborah François,1,2,2.00,Jean-Pierre Dardenne/Luc Dardenne
Denis Lawson,1,2,2.00,Bill Forsyth
Denis Podalydès,1,2,2.00,Eugène Green
Denise Richards,1,2,2.00,Paul Verhoeven
Dennis Quaid,1,2,2.00,Todd Haynes
Dennis Weaver,1,2,2.00,Steven Spielberg
Diana Lynn,1,2,2.00,Preston Sturges
Dick Emery,1,2,2.00,George Dunning
Dickie Jones,1,2,2.00,Ben Sharpsteen
Dieter Berner,1,2,2.00,Michael Haneke
Dina Meyer,1,2,2.00,Paul Verhoeven
Dolly Read,1,2,2.00,Russ Meyer
Dolores Santamaria,1,2,2.00,Kidlat Tahimik
Dominique Swain,1,2,2.00,Monte Hellman
Doris Svedlund,1,2,2.00,Ingmar Bergman
Ducky Kim,1,2,2.00,Jang Sun-Woo
Ed Hood,1,2,2.00,Andy Warhol
Eddie Bracken,1,2,2.00,Preston Sturges
Eddie Firestone,1,2,2.00,Steven Spielberg
Edward Asner,1,2,2.00,Pete Docter/Bob Peterson
Edward Norton,1,2,2.00,David Fincher
Eileen Dietz,1,2,2.00,Jim McBride
Elena Tiapkina,1,2,2.00,Boris Barnet
Élina Labourdette,1,2,2.00,Robert Bresson
Elisabet Helander,1,2,2.00,Roy Andersson
Elizabeth Hartman,1,2,2.00,Don Siegel
Ellen Drew,1,2,2.00,Jacques Tourneur
Emil Botta,1,2,2.00,Lucian Pintilie
Emilio Echevarría,1,2,2.00,Alejandro González Iñárritu
Emilio Estevez,1,2,2.00,John Hughes
Emmanuelle Seigner,1,2,2.00,Julian Schnabel
Ennio Lauricella,1,2,2.00,Jean-Marie Straub/Danièle Huillet
Éric Rulliat,1,2,2.00,Philippe Garrel
Ernesto Alonso,1,2,2.00,Luis Buñuel
Ernst Busch,1,2,2.00,Bertold Brecht/Ernst Ottwald
Ernst-Hugo JäregÅrd,1,2,2.00,Lars von Trier
Estelle Winwood,1,2,2.00,Mel Brooks
Ettore Garofalo,1,2,2.00,Pier Paolo Pasolini
Eva Henning,1,2,2.00,Ingmar Bergman
Fanny Ardant,1,2,2.00,François Truffaut
Fatoumata Coulibaly,1,2,2.00,Ousmane Sembene
Feng Ji,1,2,2.00,Xie Jin
Francesca Best,1,2,2.00,Chantal Akerman
Frank Hardy,1,2,2.00,Robert J. Flaherty
Frans Rasmussen,1,2,2.00,Lars von Trier
Fred Griffiths,1,2,2.00,Humphrey Jennings
Frederick Vroom,1,2,2.00,Buster Keaton
Fulton Mackay,1,2,2.00,Bill Forsyth
Fumiko Yamaji,1,2,2.00,Mizoguchi Kenji
Gary Farmer,1,2,2.00,Jim Jarmusch
Gary Sinise,1,2,2.00,Robert Zemeckis
Gene Wilder,1,2,2.00,Mel Brooks
Genevieve Lemon,1,2,2.00,Jane Campion
George Bancroft,1,2,2.00,Josef von Sternberg
George Constantin,1,2,2.00,Lucian Pintilie
George Gravett,1,2,2.00,Humphrey Jennings
George Harrison,1,2,2.00,Richard Lester
George Mihaita,1,2,2.00,Lucian Pintilie
George Segal,1,2,2.00,Mike Nichols
George Woodbridge,1,2,2.00,Humphrey Jennings
Georges Melchior,1,2,2.00,Louis Feuillade
Geraldine Fitzgerald,1,2,2.00,Sydney Lumet
Geraldine Page,1,2,2.00,Don Siegel
Gerd Gickel,1,2,2.00,Werner Herzog
Germaine Challaye,1,2,2.00,Raymond Depardon
Ghorban Ali-Naderi,1,2,2.00,Samira Makhmalbaf
Giancarlo Esposito,1,2,2.00,Jim Jarmusch
Gottfried Bold,1,2,2.00,Jean-Marie Straub/Danièle Huillet
Goya Toledo,1,2,2.00,Alejandro González Iñárritu
Guy Stockwell,1,2,2.00,Alejandro Jodorowsky
Gwyneth Paltrow,1,2,2.00,James Gray
Hal Holbrook,1,2,2.00,John Carpenter
Halina Kowalska,1,2,2.00,Wojciech Has
Hana Brejchová,1,2,2.00,Milos Forman
Haydée Politoff,1,2,2.00,Eric Rohmer
Heather Graham,1,2,2.00,Paul Thomas Anderson
Heather Sears,1,2,2.00,Jack Clayton
Hedy Lamarr,1,2,2.00,Cecil B DeMille
Helen Lowell,1,2,2.00,D.W. Griffith
Hélène Surgère,1,2,2.00,Paul Vecchiali
Helmut Döring,1,2,2.00,Werner Herzog
Hend Sabri,1,2,2.00,Moufida Tlatli
Henri Garçin,1,2,2.00,François Truffaut
Henri Ludwigg,1,2,2.00,Jean-Marie Straub/Danièle Huillet
Henry Krauss,1,2,2.00,Albert Capellani
Herbert Lom,1,2,2.00,Alexander Mackendrick
Hideki Takahashi,1,2,2.00,Suzuki Seijun
Hilary Swank,1,2,2.00,Clint Eastwood
Hjalmar Selander,1,2,2.00,Mauritz Stiller
Hobart Bosworth,1,2,2.00,King Vidor
Holger Löwenadler,1,2,2.00,Louis Malle
Hossein Moharami,1,2,2.00,Mohsen Makhmalbaf
Hugues Quester,1,2,2.00,Raúl Ruiz
Humberto Estrada,1,2,2.00,Lisandro Alonso
Hussein Emadeddin,1,2,2.00,Jafar Panahi
I. Ivanov,1,2,2.00,Sergei M Eisenstein
Ian Hart,1,2,2.00,Ken Loach
Icíar Bollaín,1,2,2.00,Ken Loach
Ildikó Bánsági,1,2,2.00,Istvan Szabo
Ilse Bischofová,1,2,2.00,Jan Nemec
Ina Balin,1,2,2.00,Jerry Lewis
Isseu Niang,1,2,2.00,Ousmane Sembene
Iván Darvas,1,2,2.00,Karoly Makk
Ivana Baquero,1,2,2.00,Guillermo del Toro
J.P. Etievant,1,2,2.00,Albert Capellani
Jack Warden,1,2,2.00,Alan J Pakula
Jacqueline Dufranne,1,2,2.00,Jean Eustache
Jacqueline Scott,1,2,2.00,Steven Spielberg
Jacques Bonnaffé,1,2,2.00,Jean-Luc Godard
Jaime Sanchez,1,2,2.00,Sydney Lumet
James Ellison,1,2,2.00,Jacques Tourneur
James Gleason,1,2,2.00,Vincente Minnelli
James Laurenson,1,2,2.00,Alan Parker
Jamie Vadell,1,2,2.00,Raúl Ruiz
Jan Nowicki,1,2,2.00,Wojciech Has
Jan Vostrcil,1,2,2.00,Milos Forman
Jan Wikblad,1,2,2.00,Roy Andersson
Jane Alexander,1,2,2.00,Robert Benton
Janet Suzman,1,2,2.00,Peter Greenaway
Jang Nam-kyoung,1,2,2.00,Jang Sun-Woo
Jean Rouch,1,2,2.00,Jean Rouch
Jean-Claude Carrière,1,2,2.00,Abbas Kiarostami
Jean-Claude Fourneau,1,2,2.00,Robert Bresson
Jean-Marc Barr,1,2,2.00,Lars von Trier
Jean-Marc Stehlé,1,2,2.00,Jean-Luc Godard
Jeanne Satterfield,1,2,2.00,Lizzie Borden
Jérémie Renier,1,2,2.00,Jean-Pierre Dardenne/Luc Dardenne
Jérémie Segard,1,2,2.00,Jean-Pierre Dardenne/Luc Dardenne
Jess Hahn,1,2,2.00,Orson Welles
Jiang Wen,1,2,2.00,Zhang Yimou
Jiang Weng,1,2,2.00,Zhang Yimou
Jock Mahoney,1,2,2.00,Douglas Sirk
Joe McCarthy,1,2,2.00,Emile de Antonio
Johann Unterpertinger,1,2,2.00,Jean-Marie Straub/Danièle Huillet
Johannes Schneider-Merck,1,2,2.00,Marcel Ophüls
John Agar,1,2,2.00,John Ford
John Boles,1,2,2.00,James Whale
John Clive,1,2,2.00,George Dunning
John Colicos,1,2,2.00,Bob Rafelson
John Leguizamo,1,2,2.00,Baz Luhrmann
John Moulder-Brown,1,2,2.00,Jerzy Skolimowski
John Smith,1,2,2.00,John Smith
John Vernon,1,2,2.00,Dusan Makavejev
Johnny Wilson,1,2,2.00,Ishmael Bernal
Jordan Nagai,1,2,2.00,Pete Docter/Bob Peterson
Josée Destoop,1,2,2.00,Jacques Rivette
Josef Kolb,1,2,2.00,Milos Forman
Josef Svet,1,2,2.00,Milos Forman
Joseph Boudreaux,1,2,2.00,Robert J. Flaherty
Joseph Campbell,1,2,2.00,Andy Warhol
Jugge Nohall,1,2,2.00,Roy Andersson
Julie Adams,1,2,2.00,Dennis Hopper
Julie Delpy,1,2,2.00,Richard Linklater
Julieta Serrano,1,2,2.00,Pedro Almodóvar
Jun Do-yeon,1,2,2.00,Lee Chang-dong
Jürgen Zöller,1,2,2.00,Christian Schocher
Jutta Lampe,1,2,2.00,Margarethe von Trotta
Kaiulani Lee,1,2,2.00,Leo T. Hurwitz
Kamyar Sheisi,1,2,2.00,Jafar Panahi
Kaori Momoi,1,2,2.00,Aleksandr Sokurov
Karel Blazek,1,2,2.00,Ivan Passer
Karel Uhlík,1,2,2.00,Ivan Passer
Karen Colston,1,2,2.00,Jane Campion
Karl-Michael Vogler,1,2,2.00,Jerzy Skolimowski
Kate Capshaw,1,2,2.00,Steven Spielberg
Kathleen Howard,1,2,2.00,Norman Z McLeod
Katja Rupé,1,2,2.00,"Alf Brustellin, Rainer Werner
Fassbinder, Alexander Kluge, Maximiliane Mainka, Beate
Mainka-Jellinghaus, Peter Schubert, Bernhard Sinkel, Hans Peter Cloos,
Edgar Reitz, Katja Rupé, Volker Schlöndorff"
Kayoko Kishimoto,1,2,2.00,Kitano Takeshi
Kazuo Hasegawa,1,2,2.00,Mizoguchi Kenji
Ken Davitian,1,2,2.00,Larry Charles
Kent Smith,1,2,2.00,Jacques Tourneur
Kevin Spacey,1,2,2.00,Sam Mendes
Kidlat Tahimik,1,2,2.00,Kidlat Tahimik
Kim Chin-kyu,1,2,2.00,Kim Ki-young
Kim Rwe-ha,1,2,2.00,Bong Joon-ho
Kim Sang-joong,1,2,2.00,Bong Joon-ho
Kohei Fukunaga,1,2,2.00,Naomi Kawase
Kotobuki Hananomoto,1,2,2.00,Suzuki Seijun
Krystyna Janda,1,2,2.00,Istvan Szabo
Kwok Hyok-sin,1,2,2.00,Jang Sun-Woo
Ladislav Jansky,1,2,2.00,Jan Nemec
Lars Ekborg,1,2,2.00,Ingmar Bergman
Laurie Lee,1,2,2.00,Humphrey Jennings
Laurie Zimmer,1,2,2.00,John Carpenter
Laxi Narayan,1,2,2.00,Kamal Swaroop
Lee Un-shim,1,2,2.00,Kim Ki-young
Leni Tanzer,1,2,2.00,Michael Haneke
Leo Hurwitz,1,2,2.00,Leo T. Hurwitz
Leslie Caron,1,2,2.00,Vincente Minnelli
Lili Darvas,1,2,2.00,Karoly Makk
Liselotte Pulver,1,2,2.00,Douglas Sirk
Lola Dueñas,1,2,2.00,Pedro Almodóvar
Lolita Davidovich,1,2,2.00,Brian De Palma
Loretta Young,1,2,2.00,Frank Borzage
Louis Garrel,1,2,2.00,Philippe Garrel
Louise Levine,1,2,2.00,Jim McBride
Luenell Campbell,1,2,2.00,Larry Charles
Ly Abdoulaye,1,2,2.00,Ousmane Sembene
M. Bernard,1,2,2.00,Albert Capellani
Macha Méril,1,2,2.00,Agnès Varda
Madeleine Lambert,1,2,2.00,Henri Decoin
Mae Clarke,1,2,2.00,James Whale
Mae Murray,1,2,2.00,Erich von Stroheim
Magda Schneider,1,2,2.00,Max Ophüls
Mang Fely,1,2,2.00,Kidlat Tahimik
Manjinder Virk,1,2,2.00,Clio Barnard
Marcel Challaye,1,2,2.00,Raymond Depardon
Marcel Fraval,1,2,2.00,Jacques Tati
Marcel Hillaire,1,2,2.00,Woody Allen
Margaret Lockwood,1,2,2.00,Alfred Hitchcock
Mari Töröcsik,1,2,2.00,Karoly Makk
Maria Bello,1,2,2.00,David Cronenberg
Maria Casarès,1,2,2.00,Robert Bresson
Maria Kimberly,1,2,2.00,Jacques Tati
Maria Michi,1,2,2.00,Bernardo Bertolucci
Marie Glory,1,2,2.00,Marcel L'Herbier
Marie-Josée Croze,1,2,2.00,Julian Schnabel
Marjorie Rambeau,1,2,2.00,Frank Borzage
Marshall Chess,1,2,2.00,Robert Frank
Martha Raye,1,2,2.00,H.C. Potter
Martha Wolter,1,2,2.00,Bertold Brecht/Ernst Ottwald
Martin Loeb,1,2,2.00,Jean Eustache
Marty Feldman,1,2,2.00,Mel Brooks
Maruschka Detmers,1,2,2.00,Jean-Luc Godard
Marvin Becker,1,2,2.00,Bruce Baillie
Mary Boland,1,2,2.00,Leo McCarey
Mary Johnson,1,2,2.00,Mauritz Stiller
Masao Inoue,1,2,2.00,Teinosuke Kinugasa
Masao Shimizu,1,2,2.00,Mizoguchi Kenji
Masato Hagiwara,1,2,2.00,Hsiao-hsien Hou
Massimo Sarchielli,1,2,2.00,Alberto Grifi/Massimo Sarchielli
Massoumeh Naderi,1,2,2.00,Samira Makhmalbaf
Mathias Domahidy,1,2,2.00,Jean-Luc Godard
Mathieu Amalric,1,2,2.00,Julian Schnabel
Mati Diop,1,2,2.00,Claire Denis
Matthew Modine,1,2,2.00,Stanley Kubrick
Max Ramp,1,2,2.00,Christian Schocher
May Mcavoy,1,2,2.00,Ernst Lubitsch
Meena Kumari,1,2,2.00,Kamal Amrohi
Melissa Stribling,1,2,2.00,Terence Fisher
Melvi Fouqaud,1,2,2.00,Raúl Ruiz
Memo Benassi,1,2,2.00,Max Ophüls
Menashe Noy,1,2,2.00,Elia Suleiman
Mia Sara,1,2,2.00,John Hughes
Michael Cuddily,1,2,2.00,Bruce Baillie
Michael Gough,1,2,2.00,Terence Fisher
Michael Snow,1,2,2.00,Hollis Frampton
Michel Delahaye,1,2,2.00,Paul Vecchiali
Micheline Francey,1,2,2.00,Henri-Georges Clouzot
Mieczyslaw Voit,1,2,2.00,Jerzy Kawalerowicz
Mikko Niskanen,1,2,2.00,Mikko Niskanen
Mila Kunis,1,2,2.00,Darren Aronofsky
Misael Saavedra,1,2,2.00,Lisandro Alonso
Misako Watanabe,1,2,2.00,Kobayashi Masaki
Mitsuko Kusabue,1,2,2.00,Naruse Mikio
Monica Dolan,1,2,2.00,Clio Barnard
N. Cubenko,1,2,2.00,Marlen Khutsiyev
Nadine Ballot,1,2,2.00,Jean Rouch
Najia Ouerghi,1,2,2.00,Moufida Tlatli
Naomi Kawase,1,2,2.00,Naomi Kawase
Natacha Régnier,1,2,2.00,Eugène Green
Natalie Portman,1,2,2.00,Darren Aronofsky
Neil Dudgeon,1,2,2.00,Clio Barnard
Neil Hamilton,1,2,2.00,D.W. Griffith
Nicole Courcel,1,2,2.00,Serge Bourguignon
Nicole Dogué,1,2,2.00,Claire Denis
Nicole Garcia,1,2,2.00,Alain Resnais
Nicole Hiss,1,2,2.00,Marguerite Duras
Nie Yuan,1,2,2.00,Sun Yu
Niels Arestrup,1,2,2.00,Jacques Audiard
O.G. Petrovskaia,1,2,2.00,Sergei M Eisenstein
Odoardo Spadaro,1,2,2.00,Jean Renoir
Olaf Lubaszenko,1,2,2.00,Krzysztof Kieslowski
Ole Olsen,1,2,2.00,H.C. Potter
Oleg Vladimirski,1,2,2.00,Kira Muratova
Olga Georges-Picot,1,2,2.00,Alain Resnais
Osamu Ogasawara,1,2,2.00,Toshio Matsumoto
Owen Wilson,1,2,2.00,Ben Stiller
Paavo Pentikäinen,1,2,2.00,Mikko Niskanen
Patricia Gozzi,1,2,2.00,Serge Bourguignon
Paul America,1,2,2.00,Andy Warhol
Paul Angelis,1,2,2.00,George Dunning
Paul Argaud,1,2,2.00,Raymond Depardon
Paul Bernard,1,2,2.00,Robert Bresson
Paul Cacavis,1,2,2.00,Bruce Baillie
Paul Giamatti,1,2,2.00,Alexander Payne
Paul Glauer,1,2,2.00,Werner Herzog
Paul Gleason,1,2,2.00,John Hughes
Paul Henreid,1,2,2.00,Irving Rapper
Paul Lukas,1,2,2.00,Alfred Hitchcock
Peggy Cummins,1,2,2.00,Jacques Tourneur
Penélope Cruz,1,2,2.00,Pedro Almodóvar
Peter Cushing,1,2,2.00,Terence Fisher
Peter Lawford,1,2,2.00,Ernst Lubitsch
Peter Riegert,1,2,2.00,Bill Forsyth
Philip Wilson-Dickson,1,2,2.00,Humphrey Jennings
Pierre Blaise,1,2,2.00,Louis Malle
Preston Foster,1,2,2.00,John Ford
Raaj Kumar,1,2,2.00,Kamal Amrohi
Rafael Estrada,1,2,2.00,Lisandro Alonso
Rajendra Kumar,1,2,2.00,Mehboob Khan
Raquel Ascensao,1,2,2.00,João César Monteiro
Raymond Levy,1,2,2.00,Marcel Ophüls
Raymond Rouleau,1,2,2.00,Jacques Becker
Ren Ôsugi,1,2,2.00,Kitano Takeshi
René Navarre,1,2,2.00,Louis Feuillade
Renée Adorée,1,2,2.00,King Vidor
Richard Lund,1,2,2.00,Mauritz Stiller
Rita Tushingham,1,2,2.00,Carine Adler
Robert Crumb,1,2,2.00,Terry Zwigoff
Robert Dawson,1,2,2.00,Aleksandr Sokurov
Robert Taylor,1,2,2.00,Nicholas Ray
Roger Honorat,1,2,2.00,Robert Bresson
Roger Pierre,1,2,2.00,Alain Resnais
Rolf Sohlman,1,2,2.00,Roy Andersson
Rosana Pastor,1,2,2.00,Ken Loach
Roy D'arcy,1,2,2.00,Erich von Stroheim
Rudolph Christians,1,2,2.00,Erich von Stroheim
Ruth Dwyer,1,2,2.00,Buster Keaton
Salimata Traore,1,2,2.00,Ousmane Sembene
Sally Yeh,1,2,2.00,John Woo
Seena Owen,1,2,2.00,Erich von Stroheim
Seichi Takegawa,1,2,2.00,Mizoguchi Kenji
Seon Jeong-yeob,1,2,2.00,Lee Chang-dong
Sergi López,1,2,2.00,Guillermo del Toro
Shafiq Syed,1,2,2.00,Mira Nair
Shaghayegh Djodat,1,2,2.00,Mohsen Makhmalbaf
Shannyn Sossamon,1,2,2.00,Monte Hellman
Shay Gorman,1,2,2.00,Jacques Tourneur
Shenda Román,1,2,2.00,Raúl Ruiz
Shinji Tanaka,1,2,2.00,Shindo Kaneto
Sondra Locke,1,2,2.00,Clint Eastwood
Sonia Dresdel,1,2,2.00,Carol Reed
Stanislav Liubshin,1,2,2.00,Marlen Khutsiyev
Stefania Iwinska,1,2,2.00,Krzysztof Kieslowski
Stefano Cattarossi,1,2,2.00,Alberto Grifi/Massimo Sarchielli
Stella Garcia,1,2,2.00,Dennis Hopper
Stéphane Freiss,1,2,2.00,Agnès Varda
Stephen Baldwin,1,2,2.00,Bryan Singer
Steve James,1,2,2.00,Steve James
Stevie Wonder,1,2,2.00,Robert Frank
Sunil Dutt,1,2,2.00,Mehboob Khan
Suzanne Cloutier,1,2,2.00,Orson Welles
Sylvie Nuytten,1,2,2.00,Marguerite Duras
Tadeusz Kondrat,1,2,2.00,Wojciech Has
Tahar Rahim,1,2,2.00,Jacques Audiard
Taiji Tonoyama,1,2,2.00,Shindo Kaneto
Takelech Beyene,1,2,2.00,Haile Gerima
Tarja-Tuulikki Tarsala,1,2,2.00,Mikko Niskanen
Tatiana Pavlova,1,2,2.00,Max Ophüls
Tchéky Karyo,1,2,2.00,Eric Rohmer
Thora Birch,1,2,2.00,Sam Mendes
Tiécoura Traoré,1,2,2.00,Abderrahmane Sissako
Tom Lycos,1,2,2.00,Jane Campion
Tsutomu Tatsumi,1,2,2.00,Isao Takahata
Tygh Runyan,1,2,2.00,Monte Hellman
Ulla Jacobsson,1,2,2.00,Ingmar Bergman
Valentina Cortese,1,2,2.00,François Truffaut
Van Johnson,1,2,2.00,Vincente Minnelli
Vassili Shulgin,1,2,2.00,Fridrikh Ermler
Véra Clouzot,1,2,2.00,Henri-Georges Clouzot
Vera Maretskaya,1,2,2.00,Boris Barnet
Vernon Dobtcheff,1,2,2.00,Richard Linklater
Víctor Erice,1,2,2.00,Víctor Erice
Viggo Mortensen,1,2,2.00,David Cronenberg
Vilasini Beema,1,2,2.00,Govindan Aravindan
Vincent D'Onofrio,1,2,2.00,Stanley Kubrick
Vincent Gasperitsch,1,2,2.00,Jean-Claude Brisseau
Vincenzo Mazza,1,2,2.00,Alberto Grifi/Massimo Sarchielli
Vinessa Shaw,1,2,2.00,James Gray
Virginia Madsen,1,2,2.00,Alexander Payne
Vladimír Mensík,1,2,2.00,Milos Forman
Vladimír Pucholt,1,2,2.00,Milos Forman
Walter Byron,1,2,2.00,Erich von Stroheim
Wang Yu-wen,1,2,2.00,Tsai Ming Liang
Warre Borgmans,1,2,2.00,Chantal Akerman
Warren William,1,2,2.00,Mervyn LeRoy
Wil Wheaton,1,2,2.00,Rob Reiner
William Gates,1,2,2.00,Steve James
William Martinez,1,2,2.00,Ishmael Bernal
William Shimell,1,2,2.00,Abbas Kiarostami
Willy Ziegler,1,2,2.00,Christian Schocher
Winona Ryder,1,2,2.00,Jim Jarmusch
Wolfgang Liebeneiner,1,2,2.00,Max Ophüls
Wu Qiong,1,2,2.00,Jia Zhang Ke
Xie Fang,1,2,2.00,Xie Jin
Yo Hitoto,1,2,2.00,Hsiao-hsien Hou
Yoko Minamida,1,2,2.00,Mizoguchi Kenji
Yoshie Nakagawa,1,2,2.00,Teinosuke Kinugasa
Youssouf Djaoro,1,2,2.00,Mahamat-Saleh Haroun
Yu Do-yun,1,2,2.00,Nagisa Oshima
Yuji Hori,1,2,2.00,Mizoguchi Kenji
Yuka Hyoundo,1,2,2.00,Naomi Kawase
Yunus Ndiay,1,2,2.00,Ousmane Sembene
Yuri Kayourov,1,2,2.00,Kira Muratova
Yvette Guilbert,1,2,2.00,Marcel L'Herbier
Zahra Naderi,1,2,2.00,Samira Makhmalbaf
Zdenek Bezusek,1,2,2.00,Ivan Passer
Zenaida Sharko,1,2,2.00,Kira Muratova
Zero Mostel,1,2,2.00,Mel Brooks
Zhang Jingchu,1,2,2.00,Sun Yu
Ahn Song Ki,1,2,2.00,Im Kwon-taek
Ali Bacha Barkaï,1,2,2.00,Mahamat-Saleh Haroun
Anne Louise Lambert,1,2,2.00,Peter Greenaway
Anthony Michael Hall,1,2,2.00,John Hughes
Berlin Philharmonic Orchestra,1,2,2.00,Leni Riefenstahl
Caspar Van Dien,1,2,2.00,Paul Verhoeven
Cecil B. Demille,1,2,2.00,Cecil B DeMille
Cheng Tai Shen,1,2,2.00,Jia Zhang Ke
Chief Dan George,1,2,2.00,Clint Eastwood
Claus Hansen Petz,1,2,2.00,Nikolaus Geyrhalter
Danny Lee Sau-yin,1,2,2.00,John Woo
Dick Van Dyke,1,2,2.00,Robert Stevenson
Eugen des Montagnes,1,2,2.00,Werner Herzog
Hans Peter Cloos,1,2,2.00,"Alf Brustellin, Rainer Werner
Fassbinder, Alexander Kluge, Maximiliane Mainka, Beate
Mainka-Jellinghaus, Peter Schubert, Bernhard Sinkel, Hans Peter Cloos,
Edgar Reitz, Katja Rupé, Volker Schlöndorff"
Ho Chi Minh,1,2,2.00,Emile de Antonio
James William Gledhill,1,2,2.00,Werner Herzog
John F. Dulles,1,2,2.00,Emile de Antonio
John La Zar,1,2,2.00,Russ Meyer
Jon Moo Song,1,2,2.00,Im Kwon-taek
Ke Huy Quan,1,2,2.00,Steven Spielberg
Kim Jong Soo,1,2,2.00,Im Kwon-taek
L.M. Kit Carson,1,2,2.00,Jim McBride
Le Van Loc,1,2,2.00,Tran Anh Hung
Lionel Le Blanc,1,2,2.00,Robert J. Flaherty
Maïmouna Hélène Diarra,1,2,2.00,Ousmane Sembene
Marcia Gay Harden,1,2,2.00,Joel & Ethan Coen
Marguerite Abel Gance,1,2,2.00,Jean Epstein
Miss Du Pont,1,2,2.00,Erich von Stroheim
Rita Pereira Marques,1,2,2.00,João César Monteiro
Robin Wright Penn,1,2,2.00,Robert Zemeckis
S. Abbas Siahi,1,2,2.00,Mohsen Makhmalbaf
Shirley Anne Field,1,2,2.00,Karel Reiz
T. Roy Barnes,1,2,2.00,Buster Keaton
Thomas Haden Church,1,2,2.00,Alexander Payne
Wolfgang von Ungern-Sternberg,1,2,2.00,Werner Herzog
Wolfgang von Waltershausen,1,2,2.00,Curt Siodmak/Robert Siodmak/Edgar G. Ulmer/Fred Zinnemann
Zhao Wei Wei,1,2,2.00,Jia Zhang Ke
Danish Radio Concert Orchestra,1,2,2.00,Lars von Trier
Orchestra Sinfonica di Roma,1,2,2.00,Jean Renoir
Alabama,1,1,1.00,Martin Bell
Alerme,1,1,1.00,Jacques Feyder
Babita,1,1,1.00,Satyajit Ray
Cassen,1,1,1.00,Luis García Berlanga
Douchka,1,1,1.00,Jean Eustache
Garima,1,1,1.00,Mani Kaul
Iftekhar,1,1,1.00,Basu Bhattacharya
Jeanne-Claude,1,1,1.00,Albert Maylses
Kalassu,1,1,1.00,John Wintergate
Kiki,1,1,1.00,Fernand Léger/Dudley Murphy
Koyuki,1,1,1.00,Kiyoshi Kurosawa
Mo'Nique,1,1,1.00,Lee Daniels
Mohanlal,1,1,1.00,Mani Ratnam
Rosy,1,1,1.00,Ritwik Ghatak
Tabu,1,1,1.00,Vishal Bharadwaj
Terry-Thomas,1,1,1.00,John Boulting
Thommery,1,1,1.00,Marcel Pagnol
Vampira,1,1,1.00,Ed Wood
Viguier,1,1,1.00,Jean Epstein
Vyjayanthimala,1,1,1.00,Bimal Roy
Aamir Khan,1,1,1.00,Rakeysh Omprakash Mehra
Aaron Eckhart,1,1,1.00,Steven Soderbergh
Abdellatif Abdelhamid,1,1,1.00,Oussama Mohammed
Abolfazi Poorarab,1,1,1.00,Rakhshan Bani-Etemad
Abolfazl Karimi,1,1,1.00,Babak Jalali
Adir Abilkassimov,1,1,1.00,Aktan Arym Kubat
Adolfas Mekas,1,1,1.00,Jonas Mekas
Adolph Davis,1,1,1.00,Jonathan Caouette
Adrian Pasdar,1,1,1.00,Kathryn Bigelow
Agame Malembo-Emene,1,1,1.00,Laurent Cantet
Aggeliki Papoulia,1,1,1.00,Yorgos Lanthimos
Ágnes Báfalvi,1,1,1.00,Zoltán Huszárik
Agnieszka Nagorzycka,1,1,1.00,Dorota Kedzierzawska
Ahmed Zaki,1,1,1.00,Mohammed Khan
Ahney Her,1,1,1.00,Clint Eastwood
Aida Riyadh,1,1,1.00,Mohammed Khan
Aimabut Amanlieva,1,1,1.00,Hadzhakuli Narliev
Aishwarya Rai,1,1,1.00,Mani Ratnam
Akiko Koyama,1,1,1.00,Oshima Nagisa
Akim Mogaji,1,1,1.00,Isaac Julien
Akio Hasegawa,1,1,1.00,Tai Kat
Akio Takahashi,1,1,1.00,Hani Susumi
Akira Ohno,1,1,1.00,John Huston
Al Gore,1,1,1.00,Davis Guggenheim
Al Jennings,1,1,1.00,W.S. Van Dyke
Ala Chostakova,1,1,1.00,Josif Kheifits
Alain Cuny,1,1,1.00,Louis Malle
Alan Arkin,1,1,1.00,Andrew Niccol
Alan Vint,1,1,1.00,Jerry Schatzberg
Alastair Sim,1,1,1.00,Frank Launder
Albert Hall,1,1,1.00,Spike Lee
Albert Juross,1,1,1.00,Jean-Luc Godard
Alberta Tiburzi,1,1,1.00,Peter Whitehead
Albertina Carri,1,1,1.00,Albertina Carri
Alberto Lionello,1,1,1.00,Pier Paolo Pasolini
Albina Imasheva,1,1,1.00,Aktan Arym Kubat
Albino Freitas,1,1,1.00,Manoel de Oliveira
Aldo Ralli,1,1,1.00,Giorgio Bianchi
Aldo Sambrell,1,1,1.00,Giorgio Bianchi
Alec McCowen,1,1,1.00,Alfred Hitchcock
Alejandro Awada,1,1,1.00,Fabián Bielinsky
Aleksander Bardini,1,1,1.00,Krzysztof Kieslowski
Aleksandr Abdulov,1,1,1.00,Sergei Solovyov
Aleksandr Baluev,1,1,1.00,Andrei Zvyagintsev
Aleksandr Cherednik,1,1,1.00,Aleksandr Sokurov
Aleksandr Kalyagin,1,1,1.00,Nikita Mikhalkov
Aleksandra Slaska,1,1,1.00,Andrzej Munk/Witold Lesiewicz
Alessio Boni,1,1,1.00,Marco Tullio Giordana
Alex Allin,1,1,1.00,Germaine Dulac
Alex Kingston,1,1,1.00,Mike Hodges
Alex Rodgers,1,1,1.00,Andrew Kötting
Alexander Allerson,1,1,1.00,Rainer Werner Fassbinder
Alexander Godunov,1,1,1.00,John McTiernan
