film_id,title_raw,title_searchable,director_raw,director_searchable,year,country,genre,film_type,category,actors_raw,actors_searchable,alternate_titles_raw,alternate_titles_searchable
4ce2b7b98d6b0,Raising Cain,raising cain,,,1992,USA,Drama,Film,Fiction,John Lithgow | Lolita Davidovich | Steven Bauer,john lithgow | lolita davidovich | steven bauer,Father's Day,father's day
4ce2b7b9b17db,Groundhog Day,groundhog day,Harold Ramis,harold ramis,1993,USA,Comedy | Romance | Fantasy,Film,Fiction,Bill Murray | Andie MacDowell | Chris Elliott,bill murray | andie macdowell | chris elliott,,
4ce2b7ba4a007,Twin Peaks  Fire Walk with Me,twin peaks  fire walk with me,David Lynch,david lynch,1992,USA,Film noir,Film,Fiction,Sheryl Lee | Ray Wise | Mädchen Amick,sheryl lee | ray wise | madchen amick,Fire Walk with Me,fire walk with me
4ce2b7bb4b449,Lessons of Darkness,lessons of darkness,Werner Herzog,werner herzog,1992,Germany,Documentary,Film,Non Fiction,,,Lektionen in Finsternis,lektionen in finsternis
4ce2b7bb59167,La VIE DE BOHÈME,la vie de bohème,Aki Kaurismäki,aki kaurismaki,1992,Finland | France | Sweden,Drama,Film,Fiction,Matti Pellonpää | Evelyne Didi | André Wilms,matti pellonpaa | evelyne didi | andre wilms,BOHEMIAN LIFE | Das LEBEN DER BOHÈME,bohemian life | das leben der bohème
4ce2b7bb6a804,BRATAN,bratan,,,1991,USSR,Drama,Film,Fiction,Firuz Sabzaliev | Timur Tursuniv,firuz sabzaliev | timur tursuniv,BROTHER,brother
4ce2b7bba6bdb,"SONO OTOKO, KYOBO NI TSUKI","sono otoko, kyobo ni tsuki",Takeshi Kitano,takeshi kitano,1989,Japan,Crime | Thriller,Film,Fiction,Takeshi Kitano | Maiko Kawakami | Makoto Ashikawa,takeshi kitano | maiko kawakami | makoto ashikawa,SONO OTOKO KYOBO NI TSUKI | VIOLENT COP,sono otoko kyobo ni tsuki | violent cop
4ce2b7bbabcaf,ZENDEGI VA DIGAR HICH...,zendegi va digar hich...,Abbas Kiarostami,abbas kiarostami,1992,Iran,Drama-documentary,Film,Fiction,Ferhed Kherdamend | Buba Bayour | Hocine Rifahi,ferhed kherdamend | buba bayour | hocine rifahi,"ET LA VIE CONTINUE | ZENDEGI EDAME DARAD | LIFE, AND NOTHING MORE... | AND LIFE GOES ON... | VA ZENDEGI EDAMEH DARAD","et la vie continue | zendegi edame darad | life, and nothing more... | and life goes on... | va zendegi edameh darad"
4ce2b7bbaef5d,Mad Max,mad max,George Miller,george miller,1979,Australia,Police drama | Science Fiction,Film,Fiction,Mel Gibson | Joanne Samuel | Hugh Keays-Byrne,mel gibson | joanne samuel | hugh keays-byrne,,
4ce2b7bbf047a,NARGESS,nargess,Rakhshan Bani-Etemad,rakhshan bani-etemad,1992,Iran,Gangster,Film,Fiction,Abolfazi Poorarab | Farimah Farjami | Atefeh Razavi,abolfazi poorarab | farimah farjami | atefeh razavi,,
4ce2b7bc1b23c,Husbands and Wives,husbands and wives,Woody Allen,woody allen,1992,USA,Drama,Film,Fiction,Woody Allen | Blythe Danner | Judy Davis,woody allen | blythe danner | judy davis,,
4ce2b7bc872f5,Un Coeur en hiver,un coeur en hiver,Claude Sautet,claude sautet,1992,France,Drama,Film,Fiction,Daniel Auteuil | Emmanuelle Béart | André Dussolier,daniel auteuil | emmanuelle beart | andre dussolier,Femme de coeur et valet de pique | A Heart in Winter,femme de coeur et valet de pique | a heart in winter
4ce2b7bce9af1,The Quince Tree Sun,the quince tree sun,Víctor Erice,victor erice,1992,Spain,Biopic | Documentary,Film,Non Fiction,Antonio López | María José Moreno | Enrique Gran,antonio lopez | maria jose moreno | enrique gran,El sol del membrillo | Le SONGE DE LA LUMIERE | The DREAM OF LIGHT,el sol del membrillo | le songe de la lumiere | the dream of light
4ce2b7bd6bdbc,Le CHÊNE,le chêne,Lucian Pintilie,lucian pintilie,1992,France | Romania,Drama,Film,Fiction,Maïa Morgenstern | Razvan Vasilescu | Victor Rebengiuc,maia morgenstern | razvan vasilescu | victor rebengiuc,The OAK | BALANTA | The OAK TREE,the oak | balanta | the oak tree
4ce2b7bd6e6a5,HYÈNES,hyènes,Djibril Diop Mambéty,djibril diop mambety,1992,Switzerland | France | United Kingdom | Netherlands | Senegal,Drama,Film,Fiction,Mansour Diouf | Ami Diakhate | Makhourédia Guèye,mansour diouf | ami diakhate | makhouredia gueye,HYÈNES RAMATOU | HYENAS | RAMATOU,hyènes ramatou | hyenas | ramatou
4ce2b7bd6fef6,La REINE MARGOT,la reine margot,Patrice Chéreau,patrice chereau,1994,France | Germany | Italy,Historical drama,Film,Fiction,Isabelle Adjani | Daniel Auteuil | Jean-Hugues Anglade,isabelle adjani | daniel auteuil | jean-hugues anglade,QUEEN MARGOT | Die BARTOLOMÄUSNACHT,queen margot | die bartolomäusnacht
4ce2b7be41721,Wong Fei-Hung II,wong fei-hung ii,,,1992,Hong Kong,Martial arts | Romance | Period drama,Film,Fiction,Jet Li Lianjie | Rosamund Kwan Chi-lam | Yen Chi Tan,jet li lianjie | rosamund kwan chi-lam | yen chi tan,Once Upon a Time in China II | Huang Feihong II,once upon a time in china ii | huang feihong ii
4ce2b7be79f09,Dazed and Confused,dazed and confused,Richard Linklater,richard linklater,1993,USA,Comedy | Drama,Film,Fiction,Jason London | Joey Lauren Adams | Milla Jovovich,jason london | joey lauren adams | milla jovovich,,
4ce2b7be8becc,Fearless,fearless,Peter Weir,peter weir,1993,USA,Drama,Film,Fiction,Jeff Bridges | Isabella Rossellini | Rosie Perez,jeff bridges | isabella rossellini | rosie perez,Joyride,joyride
4ce2b7be990ee,Short Cuts,short cuts,Robert Altman,robert altman,1993,USA,Drama,Film,Fiction,Andie MacDowell | Bruce Davison | Jack Lemmon,andie macdowell | bruce davison | jack lemmon,L.A. Shortcuts,l.a. shortcuts
4ce2b7bebd5ca,The Age of Innocence,the age of innocence,Martin Scorsese,martin scorsese,1993,USA,Romance | Period drama,Film,Fiction,Joanne Woodward | Daniel Day-Lewis | Michelle Pfeiffer,joanne woodward | daniel day-lewis | michelle pfeiffer,,
4ce2b7bedbbf1,True Romance,true romance,Tony Scott,tony scott,1993,USA,Gangster | Crime | Romance | Thriller,Film,Fiction,Christian Slater | Patricia Arquette | Dennis Hopper,christian slater | patricia arquette | dennis hopper,,
4ce2b7bfc9d9a,LASHOU SHENTAN,lashou shentan,John Woo,john woo,1992,Hong Kong,Police drama | Thriller,Film,Fiction,Chow Yun-fat | Tony Leung Chiu-wai | Teresa Mo Sun-Kwan,chow yun-fat | tony leung chiu-wai | teresa mo sun-kwan,LAT SAU SAN TAM | HOT-HANDED GOD OF COPS | GOD OF GUNS | RUTHLESS SUPER-COP | HARD-BOILED | A TOUTE EPREUVE | LAT SAU SAN TAAM,lat sau san tam | hot-handed god of cops | god of guns | ruthless super-cop | hard-boiled | a toute epreuve | lat sau san taam
4ce2b7c0baf13,Grave of the Fireflies,grave of the fireflies,Isao Takahata,isao takahata,1988,Japan,Animation,Film,Fiction,Ayano Shiraishi | Tsutomu Tatsumi,ayano shiraishi | tsutomu tatsumi,Hotaru no haka | Tombstone for Fireflies,hotaru no haka | tombstone for fireflies
4ce2b7c15ad7a,QIU JU DA GUAN SI,qiu ju da guan si,Zhang Yimou,zhang yimou,1992,People's Republic of China | Hong Kong,Comedy | Drama,Film,Fiction,Gong Li | Lei Laosheng | Liu Peiqi,gong li | lei laosheng | liu peiqi,QIUJU DA GUANSI | QIU JU GOES TO COURT | The STORY OF QIU JU,qiuju da guansi | qiu ju goes to court | the story of qiu ju
4ce2b7c1635fb,Naked,naked,Mike Leigh,mike leigh,1993,United Kingdom,Drama,Film,Fiction,David Thewlis | Lesley Sharp | Katrin Cartlidge,david thewlis | lesley sharp | katrin cartlidge,,
4ce2b7c164d6f,The Nightmare before Christmas,the nightmare before christmas,Henry Selick,henry selick,1993,USA,Animation,Film,Fiction,Danny Elfman | Chris Sarandon | Catherine O'Hara,danny elfman | chris sarandon | catherine o'hara,Tim Burton's the Nightmare before Christmas,tim burton's the nightmare before christmas
4ce2b7c1b61df,Three Colours Blue,three colours blue,Krzysztof Kieslowski,krzysztof kieslowski,1993,Switzerland | France | Poland,Drama,Film,Fiction,Juliette Binoche | Benoît Régent | Florence Pernel,juliette binoche | benoît regent | florence pernel,Trois Couleurs Bleu | Trzy kolory niebieski,trois couleurs bleu | trzy kolory niebieski
4ce2b7c1b7f0d,Trois couleurs rouge,trois couleurs rouge,Krzysztof Kieslowski,krzysztof kieslowski,1994,Switzerland | France | Poland,Drama,Film,Fiction,Irène Jacob | Jean-Louis Trintignant | Frédérique Feder,irene jacob | jean-louis trintignant | frederique feder,Trzy Kolory Czerwony | Three Colours Red,trzy kolory czerwony | three colours red
4ce2b7c20928a,The STONE,the stone,,,1992,Russian Federation,Drama,Film,Fiction,Leonid Mozgovoy | Piotr Alexandrov | Vadim Semenov,leonid mozgovoy | piotr alexandrov | vadim semenov,,
4ce2b7c22d5f1,Aspen,aspen,,,1991,USA,Documentary,Television,Non Fiction,,,Aspen Colorado,aspen colorado
4ce2b7c39983a,Shadowlands,shadowlands,Richard Attenborough,richard attenborough,1994,United Kingdom | USA,Biopic | Romance | Historical drama,Film,Fiction,Anthony Hopkins | Debra Winger | Edward Hardwicke,anthony hopkins | debra winger | edward hardwicke,,
4ce2b7c5407ba,A Perfect World,a perfect world,Clint Eastwood,clint eastwood,1993,USA,Police drama,Film,Non Fiction,Kevin Costner | Clint Eastwood | Laura Dern,kevin costner | clint eastwood | laura dern,,
4ce2b7c582593,Natural Born Killers,natural born killers,Oliver Stone,oliver stone,1994,USA,Crime,Film,Fiction,Woody Harrelson | Juliette Lewis | Robert Downey Jr,woody harrelson | juliette lewis | robert downey jr,,
4ce2b7c595cb0,BA WANG BIE JI,ba wang bie ji,Chen Kaige,chen kaige,1993,People's Republic of China | Hong Kong,Romance | Drama,Film,Fiction,Leslie Cheung Kwok-wing | Zhang Fengyi | Gong Li,leslie cheung kwok-wing | zhang fengyi | gong li,FAREWELL MY CONCUBINE,farewell my concubine
4ce2b7c5c1618,Pulp Fiction,pulp fiction,Quentin Tarantino,quentin tarantino,1994,USA,Crime,Film,Fiction,John Travolta | Samuel L. Jackson | Uma Thurman,john travolta | samuel l. jackson | uma thurman,,
4ce2b7c62d616,The Bed You Sleep In,the bed you sleep in,,,1993,USA,Drama,Film,Fiction,Kathryn Sannella | Tom Blair | Ellen Mclaughlin,kathryn sannella | tom blair | ellen mclaughlin,,
4ce2b7c665f50,Calendar,calendar,Atom Egoyan,atom egoyan,1993,Armenia | Canada | Germany,Drama,Film,Fiction,Djivan Gasparyan | Eve Egoyan | Garo Tchaliguian,djivan gasparyan | eve egoyan | garo tchaliguian,,
4ce2b7c6952d7,The Shawshank Redemption,the shawshank redemption,Frank Darabont,frank darabont,1994,USA,,Film,Fiction,Tim Robbins | Morgan Freeman | Bob Gunton,tim robbins | morgan freeman | bob gunton,,
4ce2b7c697040,Electrocuting an Elephant,electrocuting an elephant,,,1903,USA,Documentary,Film,Non Fiction,,,,
4ce2b7c726e08,QING SHAONIAN NEZHA,qing shaonian nezha,,,1992,Hong Kong | Taiwan,Drama,Film,Fiction,Chen Chao-jung | Wang Yu-wen | Lee Kang-sheng,chen chao-jung | wang yu-wen | lee kang-sheng,REBELS OF THE NEON GOD | QUING SHAONIAN NA CHA | CH'ING SHAONIEN NA CHA,rebels of the neon god | quing shaonian na cha | ch'ing shaonien na cha
4ce2b7c73da10,GOLDEN EIGHTIES,golden eighties,Chantal Akerman,chantal akerman,1986,Belgium | Switzerland | France,Musical,Film,,Delphine Seyrig | Myriam Boyer | Fanny Cottençon,delphine seyrig | myriam boyer | fanny cottencon,Les ANNÉES 80 | WINDOW SHOPPING | The EIGHTIES,les années 80 | window shopping | the eighties
4ce2b7c751e79,PALOMITA BLANCA,palomita blanca,,,1993,Chile,Drama,Film,Fiction,Beatriz Lapido | Rodrigo Ureta | Belgica Castro,beatriz lapido | rodrigo ureta | belgica castro,WHITE DOVE,white dove
4ce2b7c798632,Food,food,Jan Svankmajer,jan svankmajer,1992,Czechoslovakia | United Kingdom,Animation | Artists' Moving Image,Film,Fiction,Ludvík Sváb | Josef Fiala | Bedrich Glaser,ludvik svab | josef fiala | bedrich glaser,Jídlo,jidlo
4ce2b7c826c53,La NAISSANCE DE L'AMOUR,la naissance de l'amour,Philippe Garrel,philippe garrel,1993,Switzerland | France,Drama,Film,Fiction,Jean-Pierre Léaud | Lou Castel | Johanna ter Steege,jean-pierre leaud | lou castel | johanna ter steege,The BIRTH OF LOVE,the birth of love
4ce2b7c847246,My Neighbour Totoro,my neighbour totoro,Hayao Miyazaki,hayao miyazaki,1988,Japan,Animation,Film,,Lisa Michaelson | Cheryl Chase | Gregory Snegoff,lisa michaelson | cheryl chase | gregory snegoff,Tonari no Totoro,tonari no totoro
4ce2b7c8951ef,HSIMENG JENSHENG,hsimeng jensheng,Hou Hsiao-Hsien,hou hsiao-hsien,1993,Taiwan,Biopic,Film,Fiction,Li T'ien-lü | Lin Chieng | Chen K'uei-chung,li t'ien-lu | lin chieng | chen k'uei-chung,The Puppet Master | HSIMENG RENSHENG | The Puppetmaster,the puppet master | hsimeng rensheng | the puppetmaster
4ce2b7c96a012,Vale Abraão,vale abraao,Manoel de Oliveira,manoel de oliveira,1993,Switzerland | France | Portugal,Drama,Film,Fiction,Leonor Silveira | Luís Miguel Cintra | Cecile Sanz de Alba,leonor silveira | luis miguel cintra | cecile sanz de alba,Abraham Valley | Valley of Abraham | Am Ufer des Flusses,abraham valley | valley of abraham | am ufer des flusses
