voter_id,raw_film_title,normed_film_title,searchable_film_title,film_director,film_director_searchable,film_year,film_id
700,Battleship Potemkin,Battleship Potemkin,battleship potemkin,Sergei M Eisenstein,sergei m eisenstein,1925,4ce2b6a68bd9d
700,Casablanca,Casablanca,casablanca,Michael Curtiz,michael curtiz,1942,4ce2b82020179
700,Citizen Kane,Citizen Kane,citizen kane,Orson Welles,orson welles,1941,4ce2b6a7a801b
700,"Godfather: Part II, The",The Godfather: Part II,the godfather: part ii,Francis Ford Coppola,francis ford coppola,1974,4ce2b6ab42667
700,Ikiru,Ikiru,ikiru,Akira Kurosawa,akira kurosawa,1952,4ce2b6ace592f
700,Rashomon,Rashomon,rashomon,Akira Kurosawa,akira kurosawa,1950,4ce2b6b3ec3fe
700,Salvatore Giuliano,Salvatore Giuliano,salvatore giuliano,Francesco Rosi,francesco rosi,1962,4ce2b6b4ef7fb
700,Singin' in the Rain,Singin' in the Rain,singin' in the rain,Stanley Donen/Gene Kelly,stanley donen/gene kelly,1951,4ce2b6b6036b6
700,"Travelling Players, The",The Travelling Players,the travelling players,Theodoros Angelopoulos,theodoros angelopoulos,1975,4ce2b6b81dc84
764,All That Heaven Allows,All That Heaven Allows,all that heaven allows,Douglas Sirk,douglas sirk,1955,4ce2b6ab46fea
764,"argent, L'",L'argent,l'argent,Robert Bresson,robert bresson,1983,4ce2b6edeeb13
764,"Crowd, The",The Crowd,the crowd,King Vidor,king vidor,1928,4ce2b70696ace
764,"Doulos, Le",Le Doulos,le doulos,Jean-Pierre Melville,jean-pierre melville,1963,4ce2b6a92af32
764,Fear Eats the Soul,Fear Eats the Soul,fear eats the soul,Rainer Werner Fassbinder,rainer werner fassbinder,1974,4ce2b6bfdd960
764,Happiness,Happiness,happiness,Agnès Varda,agnes varda,1965,4ce2b6a60d68c
764,Late Spring,Late Spring,late spring,Ozu Yasujirô ,ozu yasujiro ,1949,4ce2b6a498bd1
764,Man's Castle,Man's Castle,man's castle,Frank Borzage,frank borzage,1933,4ce2b6afd6db6
764,"Moment of Innocence, A",A Moment of Innocence,a moment of innocence,Mohsen Makhmalbaf,mohsen makhmalbaf,1995,4ce2b7fa53d9d
764,"Son, The",The Son,the son,Jean-Pierre Dardenne/Luc Dardenne,jean-pierre dardenne/luc dardenne,2002,4ce2b872dd8ff
999,"Age of the Earth, The",The Age of the Earth,the age of the earth,Glauber Rocha,glauber rocha,1980,4ce2b72b5311e
999,"commune (Paris, 1871), La","La commune (Paris, 1871)","la commune (paris, 1871)",Peter Watkins,peter watkins,2000,4ce2b8326d012
999,Earth,Earth,earth,Aleksandr Dovzhenko,aleksandr dovzhenko,1930,4ce2b6bb8e7a6
999,Evolution of a Filipino Family,Evolution of a Filipino Family,evolution of a filipino family,Lav Díaz,lav diaz,2004,4ce2b8ab7a567
999,"House is Black, The",The House is Black,the house is black,Forough Farrokhzad,forough farrokhzad,1962,4ce2b6be331c6
