film_id,votes,normed_film_title,film_director,film_year,country,genre,media_type,actors_raw
4ce2b76ec3591,1,Somewhere In Time,Jeannot Szwarc,1980,USA,Science Fiction | Romance | Fantasy,Film,Christopher Reeve | Christopher Plummer | Jane Seymour
4ce2b6b0f3909,1,Muriel,Alain Resnais,1963,France | Italy,Drama,Film,Delphine Seyrig | Jean-Pierre Kérien | Nita Klein
4ce2b8c357ab8,1,Paranoid Park,Gus van Sant,2007,France | USA,,Film,Gabe Nevins | Taylor Momsen | Jake Miller
4ce2b6b90d54d,1,Trouble in Paradise,Ernst Lubitsch,1932,USA,Comedy | Crime,Film,Miriam Hopkins | Kay Francis | Herbert Marshall
4ce2b86e6f142,1,Monsoon Wedding,Mira Nair,2001,France | Germany | Italy | USA,Drama,Film,Naseeruddin Shah | Lillette Dubey | Shefali Shah
4ce2b6b9ad9b2,1,Hour of the Wolf,Ingmar Bergman,1968,Sweden,Drama,Film,Max von Sydow | Liv Ullmann | Gertrud Fridh
10117,1,Paris Is Burning,Jennie Livingstone,,,,,
4ce2b6a9c2177,1,Faces,John Cassavetes,1968,USA,Drama,Film,John Marley | Gena Rowlands | Lynn Carlin
4ce2b8a2b0940,1,Head-On,Fatih Akin,2003,Germany,Drama,Film,Birol Ünel | Sibel Kekilli | Catrin Striebeck
4ce2b6b39ca6f,1,Providence,Alain Resnais,1977,Switzerland | France,Drama,Film,Dirk Bogarde | Ellen Burstyn | John Gielgud
4ce2b6a673516,1,Bringing Up Baby,Howard Hawks,1938,USA,Comedy | Romance,Film,Katharine Hepburn | Cary Grant | Charles Ruggles
4ce2b6b2aaebf,1,Seven Beauties,Lina Wertmüller,1975,Italy,Drama,Film,Kevin McCarthy | Giancarlo Giannini | Fernando Rey
4ce2b865af136,1,Millennium Mambo,Hsiao-hsien Hou,2001,France | Taiwan,Drama,Film,Hsu Chi | Jack Kao | Tuan Chun-hao
4ce2b6b50a0d5,1,Sansho Dayu,Mizoguchi Kenji,1954,Japan,Period drama,Film,Kinuyo Tanaka | Yoshiaki Hanayaki | Kyôko Kagawa
10116,1,Bovine,Emmanuel Gras,,,,,
10118,1,Radiant Child,Tamra Davis,,,,,
4ce2b8379038e,1,Mulholland Dr,David Lynch,2001,France | USA,Thriller,Film,Justin Theroux | Naomi Watts | Laura Harring
10067,1,Cheese,Mika Rottenberg,,,,,
