film_id,votes,normed_film_title,film_director,film_year,country,genre,media_type,actors_raw
4ce2b6c39c104,1,The Outsiders,Francis Ford Coppola,1983,USA,Crime,Film,Matt Dillon | Ralph Macchio | C. Thomas Howell
4ce2b6c5aafc4,1,I Think They Call Him John,John Krish,1964,United Kingdom,Documentary,Film,Victor Spinetti | Bessie Love
4ce2b6cd070f9,1,Castro Street,Bruce Baillie,1966,USA,Documentary,Film,
4ce2b6d27ff6c,1,Text of Light,Stan Brakhage,1974,USA,Artists' Moving Image,Film,
4ce2b6d2ec65c,1,Hold Me While I'm Naked,George Kuchar,1966,USA,Drama,Film,Donna Kerness | Hope Morris | Steve Packard
4ce2b6d46c244,1,Window Water Baby Moving,Stan Brakhage,1959,USA,Documentary,Film,
4ce2b6d500444,1,The Battle of Chile: Part 2,Patricio Guzmán,1976,Chile | Cuba,Documentary,Film,
4ce2b6d6c891c,1,"Harlan County, USA",Barbara Kopple,1976,USA,Documentary,Film,
4ce2b6d992c56,1,Dresden Dynamo,Lis Rhodes,1971,United Kingdom,Artists' Moving Image,Film,
4ce2b6d9987ba,1,The Girl Chewing Gum,John Smith,1976,United Kingdom,Artists' Moving Image,Film,John Smith
4ce2b6d9a301e,1,Place of Work & Tailpiece,Margaret Tait,1976,United Kingdom,Artists' Moving Image,Film,
4ce2b6db4e683,1,Fuses,Carolee Schneemann,1966,USA,Artists' Moving Image,Film,
4ce2b6db524d0,1,Serene Velocity,Ernie Gehr,1970,USA,,Film,
4ce2b6de09c53,1,Powers of Ten,Charles/Ray Earnes,1968,USA,Artists' Moving Image,Film,Judith Bronowski
4ce2b8cd85f21,1,Shirin,Abbas Kiarostami,2008,Iran,Artists' Moving Image,Film,Raana Azadivar | Vishka Asayesh | Darya Ashouri
4ce2b6a50ee74,1,The Big Country,William Wyler,1958,USA,Western | Romance | Drama,Film,Gregory Peck | Jean Simmons | Carroll Baker
4ce2b6a4f0f7d,1,The Beguiled,Don Siegel,1970,USA,School programme and Educational film,Film,Clint Eastwood | Geraldine Page | Elizabeth Hartman
4ce2b6e926125,1,The Vampires of Poverty,Carlos Mayolo/Luis Ospina,1978,Colombia,Documentary,Film,Eduardo Carvajal | Ramiro Arbelaez | Luis A. Londono
4ce2b6e9c78a5,1,The Tree of Wooden Clogs,Ermano Olmi,1978,Italy,Period drama,Film,Luigi Ornaghi | Francesca Moriggi | Omar Brignoli
