film_id,votes,normed_film_title,film_director,film_year,country,genre,media_type,actors_raw
4ce2b6946d914,2,Fitzcarraldo,Werner Herzog,1981,Peru | Federal Republic of Germany,Drama | Historical drama,Film,Klaus Kinski | José Lewgoy | Miguel Ángel Fuentes
4ce2b80eaafad,2,Flowers of Shanghai,Hsiao-hsien Hou,1998,Japan | Taiwan,Drama,Film,Tony Leung Chiu-wai | Michiko Hada | Michèle Reis
4ce2b79fd264c,2,Crimes and Misdemeanors,Woody Allen,1989,USA,Comedy,Film,Caroline Aaron | Alan Alda | Woody Allen
4ce2b6af4711f,2,Love Me Tonight,Rouben Mamoulian,1932,USA,Comedy | Musical,Film,Maurice Chevalier | Jeanette Macdonald | Charles Ruggles
4ce2b6a476a8b,2,The Awful Truth,Leo McCarey,1937,USA,Comedy | Romance,Film,Irene Dunne | Cary Grant | Ralph Bellamy
4ce2b6ae1daad,2,King Kong,Merian C. Cooper/Ernest B. Schoedsack,1933,USA,Horror | Fantasy,Film,Fay Wray | Robert Armstrong | Bruce Cabot
4ce2b6bb5649f,2,Eyes Without a Face,Georges Franju,1960,France | Italy,Horror | Medical drama,Film,Pierre Brasseur | Alida Valli | Juliette Mayniel
4ce2b6b13ea6d,2,Napoleon,Abel Gance,1927,France,Biopic | Historical drama,Film,Gina Manès | Albert Dieudonné | Eugénie Buffet
4ce2b6edeeb13,2,L'argent,Robert Bresson,1983,Switzerland | France,Crime,Film,Christian Patey | Vincent Risterucci | Caroline Lang
4ce2b6b94f5ad,2,Floating Clouds,Naruse Mikio,1955,Japan,Drama,Film,Hideko Takamine | Masayuki Mori | Mariko Okada
4ce2b6af91638,2,A Magnificent Obsession,Douglas Sirk,1954,USA,Melodrama,Film,Jane Wyman | Rock Hudson | Agnes Moorehead
4ce2b6bcdaa6f,2,The Deer Hunter,Michael Cimino,1977,USA,War,Film,Robert De Niro | John Cazale | John Savage
4ce2b8153ced0,2,Sicilia!,Jean-Marie Straub/Danièle Huillet,1998,France | Germany | Italy,Drama,Film,Gianni Buscarino | Vittorio Vigneri | Angela Nugara
4ce2b6b26303c,2,Wake in Fright,Ted Kotcheff,1971,Australia | United Kingdom | USA,Drama,Film,Donald Pleasence | Gary Bond | Chips Rafferty
4ce2b8c6518bb,2,There Will Be Blood,Paul Thomas Anderson,2007,USA,Drama,Film,Daniel Day-Lewis | Paul Dano | Kevin J. O'Connor
4ce2b6b218cee,2,One Flew Over the Cuckoo's Nest,Milos Forman,1975,USA,Medical drama,Film,Jack Nicholson | Louise Fletcher | William Redfield
4ce2b813df499,2,"Timeless, Bottomless, Bad Movie",Jang Sun-Woo,1998,"Korea, Republic of",Drama,Film,Kwok Hyok-sin | Jang Nam-kyoung | Ducky Kim
4ce2b71608532,2,"Faster, Pussycat! Kill! Kill!",Russ Meyer,1966,USA,Comedy | Crime,Film,Tura Satana | Haji | Stuart Lancaster
4ce2b6a7b69f6,2,A Clockwork Orange,Stanley Kubrick,1971,United Kingdom | USA,Crime | Science Fiction,Film,Malcolm McDowell | Patrick Magee | Michael Bates
4ce2b6ad02e91,2,Kings of the Road,Wim Wenders,1976,Federal Republic of Germany,Road movie,Film,Rüdiger Vogler | Hanns Zischler | Lisa Kreuzer
4ce2b721151ac,2,The Grapes of Wrath,John Ford,1940,USA,Drama,Film,Henry Fonda | Jane Darwell | Charles Grapewin
4ce2b6a59e27b,2,La Belle et la Bete,Jean Cocteau,1946,France,Fantasy,Film,Jean Marais | Josette Day | Mila Parély
4ce2b850a848c,2,In Vanda's Room,Pedro Costa,2000,Switzerland | Germany | Portugal,Documentary,Film,Vanda Duarte | Zita Duarte | Lena Duarte
4ce2b6a9082ab,2,Doctor Zhivago,David Lean,1965,Italy | Liechtenstein | USA,Romance | Drama,Film,Geraldine Chaplin | Julie Christie | Tom Courtenay
4ce2b6b738e6d,2,Star Wars,George Lucas,1977,USA,Science Fiction | Fantasy | Action and Adventure,Film,Mark Hamill | Harrison Ford | Carrie Fisher
4ce2b6abe00df,2,Hatari!,Howard Hawks,1961,USA,Comedy | Drama,Film,John Wayne | Hardy Kruger | Elsa Martinelli
4ce2b87f98ae5,2,Ten,Abbas Kiarostami,2002,France | Iran,Drama,Film,Mania Akbari | Amin Maher | Roya Arabshahi
4ce2b85bbfe0f,2,Dogville,Lars von Trier,2003,Denmark | France | United Kingdom | Germany | Sweden,Thriller,Film,John Hurt | Nicole Kidman | Harriet Andersson
4ce2b8c3565bc,2,Silent Light,Carlos Reygadas,2007,France | Mexico | Netherlands,,Film,Cornelio Wall | Miriam Toews | Maria Pankratz
4ce2b7e2b963d,2,Breaking the Waves,Lars von Trier,1996,Denmark | Finland | France | Germany | Iceland | Italy | Netherlands | Norway | Sweden | USA,Drama,Film,Emily Watson | Stellan Skarsgård | Katrin Cartlidge
4ce2b6b8ac748,2,El Topo,Alejandro Jodorowsky,1970,Mexico | USA,Western,Film,Alejandro Jodorowsky | Jacqueline Luis | Mara Lorenzio
4ce2b79e28ef5,2,Where is My Friend's House?,Abbas Kiarostami,1989,Iran,Drama,Film,Babek Ahmed Poor | Ahmed Ahmed Poor | Kheda Barech Defai
4ce2b818a4b15,2,After Life,Koreeda Hirokazu,1998,Japan,Drama,Film,Arata | Erika Oda | Susumu Terajima
4ce2b6ac439ff,2,Equinox Flower,"Ozu Yasujirô ",1958,Japan,Comedy | Drama,Film,Shin Saburi | Kinuyo Tanaka | Ineko Arima
