eddie-averill,Eddie  Averill,eddie  averill,critic,USA,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/eddie-averill
lila-aviles,Lila Avilés,lila aviles,director,Mexico,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/lila-aviles
hicham-awad,Hicham Awad,hicham awad,critic,Lebanon/USA,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/hicham-awad
richard-ayoade,Richard Ayoade,richard ayoade,director,UK,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/richard-ayoade
senem-aytac,Senem Aytac,senem aytac,critic,Turkey,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/senem-aytac
rita-azevedo-gomes,Rita Azevedo Gomes,rita azevedo gomes,director,Portugal,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/rita-azevedo-gomes
philippe-azoury,Philippe Azoury,philippe azoury,critic,France,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/philippe-azoury
anna-babos,Anna Babos,anna babos,critic,Hungary,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/anna-babos
alejandro-bachmann,Alejandro Bachmann,alejandro bachmann,critic,Austria,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/alejandro-bachmann
anna-backman-rogers,Anna Backman Rogers,anna backman rogers,critic,Sweden,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/anna-backman-rogers
nicholas-baer,Nicholas Baer,nicholas baer,critic,Netherlands,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/nicholas-baer
peter-bagrov,Peter Bagrov,peter bagrov,critic,Russia/USA,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/peter-bagrov
neil-bahadur,Neil Bahadur,neil bahadur,critic,Canada,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/neil-bahadur
abbas-baharloo,Abbas Baharloo,abbas baharloo,critic,Iran,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/abbas-baharloo
prano-bailey-bond,Prano Bailey-Bond,prano bailey-bond,director,UK,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/prano-bailey-bond
cameron-bailey,Cameron Bailey,cameron bailey,critic,Canada,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/cameron-bailey
colm-bairead,Colm Bairéad,colm bairead,director,Ireland,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/colm-bairead
