panos-achtsioglou,Festival programmer / Film critic,10,8 1/2,8 1/2,1963,Federico Fellini,federico fellini
mark-adams,Film Reviewer / Festival Consultant / Producer,10,Tokyo Story,tokyo story,1953,Yasujirō Ozu,yasujiro ozu
mark-adams,Film Reviewer / Festival Consultant / Producer,10,Citizen Kane,citizen kane,1941,Orson Welles,orson welles
mark-adams,Film Reviewer / Festival Consultant / Producer,10,7th Heaven,7th heaven,1927,Frank Borzage,frank borzage
mark-adams,Film Reviewer / Festival Consultant / Producer,10,The Piano,the piano,1992,Jane Campion,jane campion
mark-adams,Film Reviewer / Festival Consultant / Producer,10,Vertigo,vertigo,1958,Alfred Hitchcock,alfred hitchcock
mark-adams,Film Reviewer / Festival Consultant / Producer,10,The Awful Truth,the awful truth,1937,Leo McCarey,leo mccarey
mark-adams,Film Reviewer / Festival Consultant / Producer,10,A Matter of Life and Death,a matter of life and death,1946,"Michael Powell, Emeric Pressburger","michael powell, emeric pressburger"
mark-adams,Film Reviewer / Festival Consultant / Producer,10,In the Mood for Love,in the mood for love,2000,Wong Kar Wai,wong kar wai
mark-adams,Film Reviewer / Festival Consultant / Producer,10,The Band Wagon,the band wagon,1953,Vincente Minnelli,vincente minnelli
mark-adams,Film Reviewer / Festival Consultant / Producer,10,Portrait of a Lady on Fire,portrait of a lady on fire,2019,Céline Sciamma,celine sciamma
margit-adorf,freelancer film critic,10,Magnolia,magnolia,1999,Paul Thomas Anderson,paul thomas anderson
margit-adorf,freelancer film critic,10,The Doors,the doors,1991,Oliver Stone,oliver stone
margit-adorf,freelancer film critic,10,Interstellar,interstellar,2014,Christopher Nolan,christopher nolan
margit-adorf,freelancer film critic,10,Mad Max: Fury Road,mad max: fury road,2015,George Miller,george miller
margit-adorf,freelancer film critic,10,The Shining,the shining,1980,Stanley Kubrick,stanley kubrick
margit-adorf,freelancer film critic,10,The Pillow Book,the pillow book,1995,Peter Greenaway,peter greenaway
margit-adorf,freelancer film critic,10,Moulin Rouge,moulin rouge,2001,Baz Luhrmann,baz luhrmann
